INFO [2024-09-09 18:02:08] [MAIN] - Creating clusters_ren__2024_09_09_18_02_08 study...

INFO [2024-09-09 18:02:08] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 18:02:08] [MAIN] - Adding nodes...

INFO [2024-09-09 18:02:09] [NODES] - Adding eu-fra node...
INFO [2024-09-09 18:02:09] [MAIN] - Done adding nodes! (run time : 0.99s).

INFO [2024-09-09 18:02:09] [MAIN] - Adding districts...

INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_mahmoudia8563_oyounmousa8571 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_abukir8540_caironorth8547_elatf8553_northgiza8568_nu generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_gas_portsaid8572 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_oil_karmouz8560 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_oil_assiut8543 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_oil_hurghada8558 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_oil_sharmelsheikh8575 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_oil_capacityscaler generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add egy_oil_walidia8581 generator to af-egy node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add eri_oil_beleza8594 generator to af-eri node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add eri_oil_massawa8595 generator to af-eri node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add esh_oil_dakhlaicpower29888 generator to af-esh node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add eth_geo_alutolangano8614 generator to af-eth node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gab_gas_portgentil10847 generator to af-gab node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gab_gas_owendo10846 generator to af-gab node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gab_gas_capacityscaler generator to af-gab node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gab_oil_rabi10849 generator to af-gab node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gha_gas_tema11858 generator to af-gha node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gha_gas_takoradi111857 generator to af-gha node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gha_gas_capacityscaler generator to af-gha node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gin_oil_sangaredi12016 generator to af-gin node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gin_oil_kamsar12015 generator to af-gin node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gin_oil_tombo12018 generator to af-gin node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gin_oil_capacityscaler generator to af-gin node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gmb_oil_banjul10851 generator to af-gmb node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gmb_oil_kotu10852 generator to af-gmb node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gnb_oil_bissau12019 generator to af-gnb node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gnq_gas_biocolpgplant8591 generator to af-gnq node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gnq_gas_malabo8593 generator to af-gnq node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add gnq_gas_capacityscaler generator to af-gnq node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_bio_capacityscaler generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_kipevui13980 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_kipevuiitsav13981 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_thika13995 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_rabai13992 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_iberafricai13976 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_kipevuiii13982 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_oil_capacityscaler generator to af-ken node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add ken_geo_olkariai13986 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ken_geo_olkariaii13989 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ken_geo_olkariaiiior13990 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ken_geo_olkariaiunits13988_olkariaiv13991 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ken_geo_olkariai13987 generator to af-ken node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lbr_oil_lukelec14048 generator to af-lbr node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lbr_oil_capacityscaler generator to af-lbr node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_southtripoli14057 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_doublecornerp14053 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_misrata14055 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_westernmountai14060 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_alkhums14050 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_zuenita14061 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_northbenghazi14056 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_azzawiyah14051 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_gas_capacityscaler generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_oil_dernasteamsta14052_tobruksteamst14058 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_oil_westtripoli14059 generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add lby_oil_capacityscaler generator to af-lby node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_gas_ainbenimathar14444 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_gas_centraleacycl14458 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_gas_alwahdatherma14446 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_coa_capacityscaler generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_coa_jeradapowerst14467 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_coa_centralethermi14455 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_coa_mohammediapowe14472 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_oil_dakhlaicpower14461 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_oil_centralediesel14451 generator to af-mar node, skipping...
