Node,Continent,Country,Geographical.region,lat,lon,coordinates_source
AS-LBN,Asia,Lebanon,Lebanon,33.9207881471,35.8799982721,ILO
AS-LKA,Asia,Sri Lanka,Sri Lanka,7.61596053702,80.7029489373,ILO
AS-MMR,Asia,Myanmar,Myanmar,21.1683805571,96.4892839365,ILO
AS-MNG,Asia,Mongolia,Mongolia,46.825774899,103.055990959,ILO
AS-MYS,Asia,Malaysia,Malaysia,3.79222522497,109.698582988,ILO
AS-NPL,Asia,Nepal,Nepal,28.2479439867,83.9162472404,ILO
AS-OMN,Asia,Oman,Oman,20.60210016,56.0925824468,ILO
AS-PAK,Asia,Pakistan,Pakistan,29.9485239896,69.3410760793,ILO
AS-PHL,Asia,Philippines,Philippines,11.7639871446,122.874831814,ILO
AS-PRK,Asia,North Korea,North Korea,NA,NA,ILO
AS-QAT,Asia,Qatar,Qatar,25.3131884548,51.1865307757,ILO
AS-RUS-CE,Asia,Russia,UES Center,NA,NA,ILO
AS-RUS-FE,Asia,Russia,UES Far East,NA,NA,ILO
AS-RUS-MV,Asia,Russia,UES Middle Volga,NA,NA,ILO
AS-RUS-NW,Asia,Russia,UES Northwest,NA,NA,ILO
AS-RUS-SI,Asia,Russia,UES Siberia,NA,NA,ILO
AS-RUS-SO,Asia,Russia,UES South,NA,NA,ILO
AS-RUS-UR,Asia,Russia,UES Ural,NA,NA,ILO
AS-SAU,Asia,Saudi Arabia,Saudi Arabia,24.1219726043,44.5372436892,ILO
AS-SGP,Asia,Singapore,Singapore,1.35861228265,103.812245192,ILO
AS-SYR,Asia,Syria,Syria,NA,NA,ILO
AS-THA,Asia,Thailand,Thailand,15.1144432725,101.003455746,ILO
AS-TJK,Asia,Tajikistan,Tajikistan,38.5298999117,71.0158664683,ILO
AS-TKM,Asia,Turkmenistan,Turkmenistan,39.11575805,59.3761877275,ILO
AS-TUR,Asia,Turkey,Turkey,39.0610307894,35.1672670068,ILO
AS-TWN,Asia,Taiwan,Taiwan,NA,NA,ILO
AS-UZB,Asia,Uzbekistan,Uzbekistan,41.7554735142,63.1405371045,ILO
AS-VNM,Asia,Vietnam,Vietnam,NA,NA,ILO
AS-YEM,Asia,Yemen,Yemen,15.9052492416,47.5906008569,ILO
EU-ALB,Europe,Albania,Albania,41.1423824499,20.0536337871,ILO
EU-ARM,Europe,Armenia,Armenia,40.2881475184,44.9321167362,ILO
