Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
AS-MMR;Asia;Myanmar;Myanmar;Brinkerink & Deane 2015;21.1683805571;96.4892839365;ILO
AS-MNG;Asia;Mongolia;Mongolia;Brinkerink & Deane 2015;46.825774899;103.055990959;ILO
AS-MYS;Asia;Malaysia;Malaysia;Brinkerink & Deane 2015;3.79222522497;109.698582988;ILO
AS-NPL;Asia;Nepal;Nepal;Brinkerink & Deane 2015;28.2479439867;83.9162472404;ILO
AS-OMN;Asia;Oman;Oman;Brinkerink & Deane 2015;20.60210016;56.0925824468;ILO
AS-PAK;Asia;Pakistan;Pakistan;Brinkerink & Deane 2015;29.9485239896;69.3410760793;ILO
AS-PHL;Asia;Philippines;Philippines;Brinkerink & Deane 2015;11.7639871446;122.874831814;ILO
AS-PRK;Asia;North Korea;North Korea;Brinkerink & Deane 2015;40.15080795;127.1843503;ILO
AS-QAT;Asia;Qatar;Qatar;Brinkerink & Deane 2015;25.3131884548;51.1865307757;ILO
AS-RUS-CE;Asia;Russia;UES Center;Brinkerink & Deane 2015;55.625578;37.6063916;"OSM ""Moscow"""
AS-RUS-FE;Asia;Russia;UES Far East;Brinkerink & Deane 2015;66.941626;129.642371;"OSM ""Sakha"""
AS-RUS-MV;Asia;Russia;UES Middle Volga;Brinkerink & Deane 2015;55.7359267;50.77496358;"OSM ""Volga Federal District"""
AS-RUS-NW;Asia;Russia;UES Northwest;Brinkerink & Deane 2015;59.938732;30.316229;"OSM ""Saint-Petersburg"""
AS-RUS-SI;Asia;Russia;UES Siberia;Brinkerink & Deane 2015;60;100;"OSM ""Siberia"""
AS-RUS-SO;Asia;Russia;UES South;Brinkerink & Deane 2015;45.0351532;38.9772396;"OSM ""Krasnodar"""
AS-RUS-UR;Asia;Russia;UES Ural;Brinkerink & Deane 2015;65.0331721;60.115404;"OSM ""Ural"""
AS-SAU;Asia;Saudi Arabia;Saudi Arabia;Brinkerink & Deane 2015;24.1219726043;44.5372436892;ILO
AS-SGP;Asia;Singapore;Singapore;Brinkerink & Deane 2015;1.35861228265;103.812245192;ILO
AS-SYR;Asia;Syria;Syria;Brinkerink & Deane 2015;35.02275815;38.50443231;ILO
AS-THA;Asia;Thailand;Thailand;Brinkerink & Deane 2015;15.1144432725;101.003455746;ILO
AS-TJK;Asia;Tajikistan;Tajikistan;Brinkerink & Deane 2015;38.5298999117;71.0158664683;ILO
AS-TKM;Asia;Turkmenistan;Turkmenistan;Brinkerink & Deane 2015;39.11575805;59.3761877275;ILO
AS-TLS;Asia;Timor-Leste;Timor-Leste;ILO;-8.8233219641;125.85227581;ILO
AS-TUR;Asia;Turkey;Turkey;Brinkerink & Deane 2015;39.0610307894;35.1672670068;ILO
AS-TWN;Asia;Taiwan;Taiwan;Brinkerink & Deane 2015;23.75300696;120.9503119;ILO
AS-UZB;Asia;Uzbekistan;Uzbekistan;Brinkerink & Deane 2015;41.7554735142;63.1405371045;ILO
AS-VNM;Asia;Vietnam;Vietnam;Brinkerink & Deane 2015;16.64282262;106.3011325;ILO
AS-YEM;Asia;Yemen;Yemen;Brinkerink & Deane 2015;15.9052492416;47.5906008569;ILO
EU-ALB;Europe;Albania;Albania;Brinkerink & Deane 2015;41.1423824499;20.0536337871;ILO
EU-ARM;Europe;Armenia;Armenia;Brinkerink & Deane 2015;40.2881475184;44.9321167362;ILO
EU-AUT;Europe;Austria;Austria;Brinkerink & Deane 2015;47.5857571625;14.1305444711;ILO
EU-AZE;Europe;Azerbaijan;Azerbaijan;Brinkerink & Deane 2015;40.2891791299;47.5425498534;ILO
EU-BEL;Europe;Belgium;Belgium;Brinkerink & Deane 2015;50.6375465936;4.63966996313;ILO
EU-BGR;Europe;Bulgaria;Bulgaria;Brinkerink & Deane 2015;42.7684902365;25.2177412805;ILO
EU-BIH;Europe;Bosnia and Herzegovina;Bosnia and Herzegovina;Brinkerink & Deane 2015;44.1715041395;17.7734052675;ILO
EU-BLR;Europe;Belarus;Belarus;Brinkerink & Deane 2015;53.5316917941;28.0333167556;ILO
EU-CHE;Europe;Switzerland;Switzerland;Brinkerink & Deane 2015;46.7990859221;8.21591266153;ILO
EU-CYP;Europe;Cyprus;Cyprus;Brinkerink & Deane 2015;34.9152999848;32.9902425308;ILO
EU-CZE;Europe;Czech Republic;Czech Republic;Brinkerink & Deane 2015;49.7324459146;15.3140847769;ILO
EU-DEU;Europe;Germany;Germany;Brinkerink & Deane 2015;51.1062734358;10.3817108727;ILO
EU-DNK;Europe;Denmark;Denmark;Brinkerink & Deane 2015;55.9659213307;10.0502290036;ILO
EU-ESP;Europe;Spain;Spain;Brinkerink & Deane 2015;40.2274328729;-3.65226540732;ILO
EU-EST;Europe;Estonia;Estonia;Brinkerink & Deane 2015;58.6709781603;25.5366060242;ILO
EU-FIN;Europe;Finland;Finland;Brinkerink & Deane 2015;64.496025362;26.2713520963;ILO
EU-FRA;Europe;France;France;Brinkerink & Deane 2015;42.1820291785;-2.75442214946;ILO
EU-GBR;Europe;United Kingdom;United Kingdom;Brinkerink & Deane 2015;54.1454903122;-2.88594273633;ILO
EU-GEO;Europe;Georgia;Georgia;Brinkerink & Deane 2015;42.1690379193;43.5070595604;ILO
EU-GRC;Europe;Greece;Greece;Brinkerink & Deane 2015;39.0516315876;22.9734385798;ILO
EU-HRV;Europe;Croatia;Croatia;Brinkerink & Deane 2015;45.0684270744;16.3978320054;ILO
EU-HUN;Europe;Hungary;Hungary;Brinkerink & Deane 2015;47.1631484858;19.3963546422;ILO
EU-IRL;Europe;Ireland;Ireland;Brinkerink & Deane 2015;53.177727454;-8.14541782157;ILO
EU-ISL;Europe;Iceland;Iceland;Brinkerink & Deane 2015;64.9981164128;-18.5967761911;ILO
EU-ITA;Europe;Italy;Italy;Brinkerink & Deane 2015;42.7864450125;12.0723891753;ILO
EU-KOS;Europe;Kosovo;Kosovo;Brinkerink & Deane 2015;42.5725834961;20.8735741478;ILO
EU-LTU;Europe;Lithuania;Lithuania;Brinkerink & Deane 2015;55.3270297547;23.8885032451;ILO
EU-LUX;Europe;Luxembourg;Luxembourg;Brinkerink & Deane 2015;49.7668555991;6.07223192937;ILO
EU-LVA;Europe;Latvia;Latvia;Brinkerink & Deane 2015;56.8520035624;24.9079168191;ILO
EU-MDA;Europe;Moldova;Moldova;Brinkerink & Deane 2015;47.19506781;28.46115246;ILO
EU-MKD;Europe;Macedonia;Macedonia;Brinkerink & Deane 2015;41.59489483;21.68395673;ILO
EU-MLT;Europe;Malta;Malta;ILO;35.9200811084;14.4043840372;ILO
EU-MNE;Europe;Montenegro;Montenegro;Brinkerink & Deane 2015;42.785696291;19.23871376;ILO
EU-NLD;Europe;Netherlands;Netherlands;Brinkerink & Deane 2015;52.0724168637;5.22159177132;ILO
EU-NOR;Europe;Norway;Norway;Brinkerink & Deane 2015;68.7958281693;15.4107026868;ILO
EU-POL;Europe;Poland;Poland;Brinkerink & Deane 2015;52.1248371866;19.3943576278;ILO
EU-PRT;Europe;Portugal;Portugal;Brinkerink & Deane 2015;39.5879315668;-8.58679773073;ILO
EU-ROU;Europe;Romania;Romania;Brinkerink & Deane 2015;45.8534292955;24.9730878059;ILO
EU-SRB;Europe;Serbia;Serbia;Brinkerink & Deane 2015;44.221300008;20.7902937118;ILO
EU-SVK;Europe;Slovakia;Slovakia;Brinkerink & Deane 2015;48.7050534694;19.4806052302;ILO
EU-SVN;Europe;Slovenia;Slovenia;Brinkerink & Deane 2015;46.1161834406;14.8077251029;ILO
EU-SWE;Europe;Sweden;Sweden;Brinkerink & Deane 2015;62.777378402;16.7542843545;ILO
EU-UKR;Europe;Ukraine;Ukraine;Brinkerink & Deane 2015;48.9972191079;31.386059716;ILO
