ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_BUSCHHAUSPOWER11002 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_CHEMIEPARKMARL11011 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_CHEMNITZNORDP11012 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_COALPLANT111015 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_COALPLANT211016 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_COLOGNEMERKENI11018 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_COTTBUSCHPPOW11019 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_DESSAUPOWERST11037 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_DEUBENPOWERST11040 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_EZ111066 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_FKK11104 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_FLENSBURGPOWER11111 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_FORTUNANORD11113 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_FRIMMERSDORFPO11118 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_GKHHANNOVERPO11123 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_GKMMANNHEIM11125 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_GKRAFTWERK11121 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_GRUBENHEIZKRAFT11165 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HAFENPOWERSTA11244 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HAMBURGMOORBUR11247 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HASTEDTPOWERS11251 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEILBRONNPOWER11255 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEIZKRAFTWERK311260 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEIZKRAFTWERKD11281 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEIZKRAFTWERKF11266 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEIZKRAFTWERKM11274 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEIZKRAFTWERKS11279 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HERNEPOWERSTA11288 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HEYDENPOWERST11292 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWERLANGENC11203 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWI11211 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWKARCHERSTR_11214 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWNORD11222 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWNORDWEST11223 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWOFFENBACHP11295 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWSACHTLEBEN11226 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWWEST11233 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HKWWEST11234 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_HUERTHVILLE11303 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_IBBENBRENBP11323 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_INDUSTRIEKRAFT11330 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_JANSCHWALDEPOW11338 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KESSEL411372 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KIELPOWERSTAT11374 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KLINGENBERG11380 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KOHLEKRAFTWERK11387 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERK11391 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERKBEXBA11395 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERKENSDO11396 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERKII11400 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERKL5711402 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERKN23011406 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KRAFTWERKWERDO11414 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_COA_KWM11360 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_KWVOERDE11348 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_KWWALSUM11349 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_KWWEST11350 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_LIPPENDORFPOWE11441 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_LNENPOWERST11449 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_MODELLKRAFTWERK11483 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_NEURATHPOWERS11521 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_NIEDERAUSSEMPO11527 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_NORD211529 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_PFORZHEIMPOWER11577 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_PLWERKEUSKIR11557 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_PLWERKJLIC11558 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_PLWERKKNNE11559 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_RENODEMEDICI11608 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_RHEINHAFENDAMP11617 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_ROSTOCKPOWERS11638 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_SCHKOPAUPOWER11665 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_SCHOLVENPOWER11669 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_SCHWARZEPUMPE11673 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_STAUDINGERPOWE11709 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_STUTTGARTMUENS11720 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_TIEFSTACKPOWER11739 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_TRIANELKOHLEKR11742 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WACHTBERGPOWER11777 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WAEHLITZPOWER11778 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WALHEIMPOWERS11787 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WEDELPOWERSTA11793 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WEIHER11796 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WEISWEILERPOWE11799 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WESTFALEN11811 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WILHELMSHAVENP11817 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_COA_WUPPERTALELBER11838 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:01:00] [WARN] - Failed to add DEU_GAS_ADSANLAGE10872 generator to EU-DEU node, skipping...
