INFO [2024-08-14 16:32:16] [NODES] - Adding EU-GEO node...
INFO [2024-08-14 16:32:17] [NODES] - Adding EU-GRC node...
INFO [2024-08-14 16:32:18] [NODES] - Adding EU-HRV node...
INFO [2024-08-14 16:32:19] [NODES] - Adding EU-HUN node...
INFO [2024-08-14 16:32:21] [NODES] - Adding EU-IRL node...
INFO [2024-08-14 16:32:22] [NODES] - Adding EU-ISL node...
INFO [2024-08-14 16:32:23] [NODES] - Adding EU-ITA node...
INFO [2024-08-14 16:32:24] [NODES] - Adding EU-KOS node...
INFO [2024-08-14 16:32:25] [NODES] - Adding EU-LTU node...
INFO [2024-08-14 16:32:27] [NODES] - Adding EU-LUX node...
INFO [2024-08-14 16:32:28] [NODES] - Adding EU-LVA node...
INFO [2024-08-14 16:32:29] [NODES] - Adding EU-MDA node...
INFO [2024-08-14 16:32:30] [NODES] - Adding EU-MKD node...
INFO [2024-08-14 16:32:32] [NODES] - Adding EU-MNE node...
INFO [2024-08-14 16:32:33] [NODES] - Adding EU-NLD node...
INFO [2024-08-14 16:32:34] [NODES] - Adding EU-NOR node...
INFO [2024-08-14 16:32:36] [NODES] - Adding EU-POL node...
INFO [2024-08-14 16:32:37] [NODES] - Adding EU-PRT node...
INFO [2024-08-14 16:32:38] [NODES] - Adding EU-ROU node...
INFO [2024-08-14 16:32:40] [NODES] - Adding EU-SRB node...
INFO [2024-08-14 16:32:41] [NODES] - Adding EU-SVK node...
INFO [2024-08-14 16:32:42] [NODES] - Adding EU-SVN node...
INFO [2024-08-14 16:32:44] [NODES] - Adding EU-SWE node...
INFO [2024-08-14 16:32:45] [NODES] - Adding EU-UKR node...
INFO [2024-08-14 16:32:46] [NODES] - Adding OC-ATA node...
INFO [2024-08-14 16:32:48] [NODES] - Adding OC-AUS-NT node...
INFO [2024-08-14 16:32:49] [NODES] - Adding OC-AUS-QL node...
INFO [2024-08-14 16:32:50] [NODES] - Adding OC-AUS-SA node...
